City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather,Date
250,Arlit,NE,18.74,7.39,91.65,43,97,0.94,overcast clouds,2020-08-30 15:41:02
251,Narsaq,GL,60.92,-46.05,50.0,71,75,5.82,light rain,2020-08-30 15:41:02
252,Laguna,US,38.42,-121.42,64.0,82,5,5.82,haze,2020-08-30 15:41:03
253,Pekan,MY,3.48,103.4,80.6,83,20,3.36,few clouds,2020-08-30 15:41:03
254,Methoni,GR,36.82,21.7,89.01,43,0,4.7,clear sky,2020-08-30 15:41:03
255,Severo-Kurilsk,RU,50.68,156.12,49.28,88,27,15.48,scattered clouds,2020-08-30 15:41:03
256,Kaabong,UG,3.48,34.15,71.31,59,30,4.79,scattered clouds,2020-08-30 15:41:04
257,Singaparna,ID,-7.35,108.11,71.1,88,99,3.65,overcast clouds,2020-08-30 15:41:04
258,Constitucion,CL,-35.33,-72.42,53.55,50,0,12.68,clear sky,2020-08-30 15:41:04
259,Marystown,CA,47.17,-55.15,66.0,100,100,3.0,overcast clouds,2020-08-30 15:41:05
260,Ballina,AU,-28.87,153.57,55.99,93,0,1.12,clear sky,2020-08-30 15:41:05
261,Lagoa,PT,39.05,-27.98,74.91,93,29,11.61,scattered clouds,2020-08-30 15:41:05
262,North Platte,US,41.12,-100.77,70.0,77,90,12.75,overcast clouds,2020-08-30 15:40:22
263,Bluff,NZ,-46.6,168.33,45.0,72,63,11.01,broken clouds,2020-08-30 15:41:06
264,Jibuti,DJ,11.5,42.5,100.4,31,1,12.75,haze,2020-08-30 15:41:06
265,Sisimiut,GL,66.94,-53.67,55.15,58,15,8.01,few clouds,2020-08-30 15:41:06
266,Horsham,GB,51.06,-0.33,62.01,59,75,12.75,broken clouds,2020-08-30 15:39:57
